ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
ITEM: ATOMS id x y z
1 0.0603964 0.0241716 0.0583932
2 1.70324 1.72087 1.74075
3 0.00444023 67.9408 3.39342
4 1.68378 1.72404 5.10973
5 67.9724 0.01788 6.80005
6 1.72072 1.67611 8.48205
7 0.0252706 0.0124868 10.1473
8 1.68039 1.72057 11.8727
9 67.9703 7.58644e-07 13.5369
10 1.67036 1.65753 15.1378
11 0.0242341 67.9209 17.0279
12 1.71385 1.67935 18.7248
13 67.9485 67.9728 20.361
14 1.66871 1.67733 22.1224
15 67.9797 0.00853267 23.7464
16 1.62552 1.70897 25.4135
17 67.991 0.0449989 27.2615
18 1.73061 1.71126 28.9491
19 67.9452 0.0394906 30.6234
20 1.71277 1.63694 32.366
21 0.0203128 67.9572 34.008
22 1.68713 1.62606 35.6965
23 7.11774e-05 67.912 37.3938
24 1.69364 1.7121 39.1101
25 67.9915 67.9767 40.8225
26 1.66796 1.73431 42.5033
27 67.9877 0.0343343 44.2288
28 1.71107 1.79738 45.9044
29 0.0159721 0.0101625 47.6561
30 1.70487 1.80438 49.3389
31 67.9615 0.0224933 51.0053
32 1.71355 1.7446 52.6746
33 67.9838 67.9887 54.4223
34 1.67022 1.70788 56.0357
35 67.8826 0.0254332 57.7263
36 1.65634 1.72227 59.5238
37 67.9835 67.9866 61.2297
38 1.68516 1.72046 62.9328
39 0.018736 67.99 64.5485
40 1.76398 1.68353 66.2887
41 67.9924 3.38868 0.0883772
42 1.69978 5.10425 1.71687
43 67.9735 3.44371 3.42032
44 1.71458 5.12621 5.06244
45 67.968 3.43434 6.77907
46 1.69035 5.08638 8.50448
47 0.0101135 3.41556 10.2087
48 1.74115 5.10959 11.9214
49 0.012483 3.42534 13.5699
50 1.69657 5.08026 15.2782
51 67.9581 3.46635 16.9173
52 1.55801 5.05566 18.6078
53 67.9815 3.38623 20.3891
54 1.67647 5.05995 22.133
55 0.0184564 3.39365 23.8095
56 1.69441 5.05705 25.4723
57 0.0242426 3.36817 27.234
58 1.74591 5.09328 28.9319
59 0.0169154 3.39926 30.6536
60 1.67893 5.1581 32.3471
61 67.9855 3.40086 34.0571
62 1.71948 5.19783 35.6986
63 0.0328456 3.44016 37.4064
64 1.73089 5.18128 39.211
65 67.9839 3.43218 40.828
66 1.73419 5.12855 42.4948
